"","ID","X15n_tissue_lediscrim","dN_p","FL_mm","dN_rbc","predictedRBC","residuals.RBC","me.Length","SI_adj_rbc","predictedP","residuals.P","SI_adj_P","predpred","WIC_C","WIC_N","predpred_nc","WIC_N_nc","WIC","cluster_2018.2019"
"1","GLCD022019","d15N_PLAS",14.39220274,359,14.69,14.8069124485497,-0.11691244854967,15.0552323464516,15.0288940030632,14.5965985118353,-0.204395771835281,14.8508365746163,14.6594765396406,0.142665590959171,0.0203534708437295,14.6594765396406,0.0714352839743391,0.267273799640629,2
"2","GLCD032018","d15N_PLAS",15.64,556,16.57,16.3904056977517,0.179594302248303,15.0552323464516,15.3254007538612,16.7395800175751,-1.09958001757511,13.9556523288765,16.2917941915122,1.19440643597309,1.42660673429393,16.2917941915122,0.424835668089025,0.651794191512187,1
"3","GLCD082019","d15N_PLAS",14.62,400,15.78,15.1364719572669,0.643528042733136,15.0552323464516,15.789334494346,15.0425997389182,-0.422599738918188,14.6326326075334,15.6058734760981,0.762384791490051,0.581230570295329,15.6058734760981,0.971946510873682,0.985873476098065,2
"4","GLCD092018","d15N_PLAS",15.39,410,14.66,15.2168523252467,-0.55685232524666,15.0552323464516,14.5889541263663,15.1513805260116,0.238619473988422,15.29385182044,14.6334289175363,0.532639445216255,0.28370477860028,14.6334289175363,0.572399802820337,0.756571082463728,2
"5","GLCD092019","d15N_PLAS",15.99,445,15.95,15.498183613176,0.451816386824049,15.0552323464516,15.597622838437,15.5321132808385,0.457886719161548,15.5131190656132,15.7534766680226,0.21932609001193,0.0481039337599211,15.7534766680226,0.055943286569681,0.236523331977378,1
"6","GLCD102018","d15N_PLAS",16.43,393,16.11,15.080205699681,1.02979430031899,15.0552323464516,16.1756007519319,14.9664531879528,1.46354681204719,16.5187791584988,15.8923973192457,0.91981182734319,0.846053797720418,15.8923973192457,0.289016642354171,0.537602680754264,1
"7","GLCD112018","d15N_PLAS",14.72,370,14.81,14.8953308533275,-0.0853308533274716,15.0552323464516,15.0604755982854,14.716257377638,0.00374262236199044,15.0589749688136,14.7636670280579,0.0487976107362891,0.00238120681357039,14.7636670280579,0.00190680933941301,0.0436670280579411,1
"8","GLCD122018","d15N_PLAS",14.74,346,14.84,14.702417970176,0.137582029824041,15.0552323464516,15.2833884814369,14.4551834886139,0.284816511386131,15.3400488578377,14.7897146501623,0.212172719457251,0.0450172628818852,14.7897146501623,0.00247154644075736,0.0497146501622747,2
"9","GLCD132018","d15N_PLAS",14.47,447,14.37,15.5142596867719,-1.14425968677191,15.0552323464516,14.001546764841,15.5538694382571,-1.08386943825713,13.9713629081945,14.3816352371944,0.479696330004737,0.230108569020013,14.3816352371944,0.00780833130569372,0.0883647628056213,1
"10","GLCD132019","d15N_PLAS",14.86,340,14.9,14.6541897493881,0.245810250611919,15.0552323464516,15.3916167022248,14.3899150163578,0.470084983642166,15.5253173300938,14.8418098943709,0.340296313404666,0.115801580916806,14.8418098943709,0.00033087994279624,0.0181901056290567,1
"11","GLCD142019","d15N_PLAS",14.02,330,14.44,14.5738093814083,-0.133809381408285,15.0552323464516,15.0119970702046,14.2811342292644,-0.261134229264442,14.7940981171872,14.4424130221045,0.190482408866187,0.0362835480874654,14.4424130221045,0.17843276124345,0.422413022104492,1
"12","GLCD152019","d15N_PLAS",17.01,460,17.19,15.6187541651457,1.57124583485436,15.0552323464516,16.7170522864673,15.6952844614785,1.31471553852146,16.3699478849731,16.8301117150017,0.485092253836249,0.235314494731932,16.8301117150017,0.0323597950796117,0.17988828499825,1
"13","GLCD162019","d15N_PLAS",14.44,390,14.59,15.0560915892871,-0.466091589287066,15.0552323464516,14.6797148623258,14.9338189518248,-0.493818951824795,14.5614133946268,14.5726511326262,0.247720965952122,0.0613656769722523,14.5726511326262,0.0175963229870034,0.132651132626161,1
"14","GLCD192019","d15N_PLAS",14.65,450,15.3,15.5383737971659,-0.238373797165848,15.0552323464516,14.9074326544471,15.5865036743851,-0.936503674385147,14.1187286720665,15.1891115224287,0.810641477521505,0.657139605078249,15.1891115224287,0.290641233615418,0.539111522428726,2
"15","GLCD212019","d15N_PLAS",13.89,370,14.44,14.8953308533275,-0.455330853327473,15.0552323464516,14.6904755982854,14.716257377638,-0.82625737763801,14.2289749688136,14.4424130221045,0.585841097908573,0.343209791998722,14.4424130221045,0.305160146990617,0.552413022104491,1
"16","GLCD232018","d15N_PLAS",15.81,380,14.36,14.9757112213073,-0.61571122130727,15.0552323464516,14.5300952303056,14.8250381647314,0.984961835268598,16.0401941817202,14.3729526964929,1.31005950904275,1.71625591723334,14.3729526964929,2.06510495251693,1.43704730350707,2
"17","GLCD242019","d15N_PLAS",14.13,345,13.66,14.694379933378,-1.03437993337798,15.0552323464516,14.1114265182349,14.4443054099045,-0.314305409904529,14.7409269365471,13.7651748473918,0.231850805059155,0.0537547958065782,13.7651748473918,0.133097391975586,0.364825152608185,1
"18","GLCD262018","d15N_PLAS",16.14,465,15.57,15.6589443491355,-0.0889443491355436,15.0552323464516,15.0568621024774,15.7496748550252,0.390325144974764,15.4455574914264,15.4235401213677,0.437288071747363,0.191220857692527,15.4235401213677,0.513314757689769,0.716459878632271,2
"19","GLCD292019","d15N_PLAS",13.35,285,14.13,14.2120977254992,-0.0820977254991967,15.0552323464516,15.0637087261137,13.7916206873442,-0.441620687344177,14.6136116591074,14.1732542603597,0.398272801747305,0.158621224611648,14.1732542603597,0.677747577200415,0.823254260359711,1
